epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.2856,3.30257,4.53767,2.17264,0,0,0,0,1.71556,4.06878,1.165,5e-05,5e-05,5e-05
2,71.7672,2.41767,4.3021,1.59956,0.00118,0.01316,0.00066,7e-05,1.49698,4.05685,1.08549,0.000105644,0.000105644,0.000105644
3,94.0136,1.8281,3.73889,1.2133,0.00784,0.18077,0.0186,0.00874,1.4841,3.97129,1.06856,0.000156536,0.000156536,0.000156536
4,116.459,1.78033,3.47276,1.11577,0.02954,0.59451,0.13013,0.05795,1.46969,3.64872,1.00874,0.000202676,0.000202676,0.000202676
5,137.867,1.62767,3.28347,1.07575,0.03435,0.74457,0.1661,0.07391,1.47769,3.30185,0.99556,0.000244064,0.000244064,0.000244064
6,159.911,1.63977,2.97062,1.05646,0.04375,0.91123,0.2657,0.12888,1.51374,2.99696,0.97774,0.0002807,0.0002807,0.0002807
7,181.983,1.59711,2.62466,1.05681,0.22197,0.55211,0.2944,0.15069,1.50612,3.10225,1.02497,0.000312584,0.000312584,0.000312584
8,204.728,1.65404,2.59623,1.05505,0.87836,0.15835,0.33027,0.16921,1.53138,3.38962,1.09025,0.000339716,0.000339716,0.000339716
9,226.952,1.62723,2.21275,1.06063,0.62919,0.13976,0.35046,0.17444,1.55666,3.38965,1.10707,0.000362096,0.000362096,0.000362096
10,248.609,1.64262,2.14218,1.07574,0.69141,0.36502,0.531,0.23701,1.65793,2.83713,1.08533,0.000379724,0.000379724,0.000379724
11,270.531,1.59301,1.90437,1.05235,0.65245,0.33984,0.53856,0.27188,1.58539,2.70268,1.08563,0.0003926,0.0003926,0.0003926
12,291.984,1.59459,1.83901,1.09001,0.60993,0.46445,0.58699,0.29957,1.58975,2.55338,1.08282,0.000400724,0.000400724,0.000400724
13,313.51,1.6251,1.74392,1.09604,0.58799,0.57579,0.60538,0.32418,1.60334,2.31836,1.08544,0.000404096,0.000404096,0.000404096
14,335.918,1.62433,1.65409,1.05821,0.60531,0.67567,0.76229,0.42471,1.52187,2.10746,1.06003,0.000402716,0.000402716,0.000402716
15,358.018,1.59659,1.5558,1.07268,0.72959,0.65446,0.75153,0.40147,1.50365,1.9933,1.05015,0.000396584,0.000396584,0.000396584
16,379.509,1.6029,1.68541,1.12896,0.57172,0.78276,0.72606,0.35859,1.5707,1.83998,1.05934,0.0003857,0.0003857,0.0003857
17,400.914,1.5391,1.52761,1.12008,0.57397,0.70594,0.70696,0.3597,1.53388,1.82129,1.06035,0.0003664,0.0003664,0.0003664
18,422.571,1.55349,1.4607,1.13265,0.60008,0.69196,0.701,0.36903,1.47932,1.63124,1.06601,0.0003268,0.0003268,0.0003268
19,444.096,1.51586,1.40357,1.09991,0.54894,0.72513,0.72297,0.38701,1.48233,1.58291,1.078,0.0002872,0.0002872,0.0002872
20,465.518,1.53726,1.3701,1.10885,0.76908,0.73133,0.80961,0.42737,1.48468,1.56849,1.08315,0.0002476,0.0002476,0.0002476
21,487.006,1.51333,1.32765,1.14414,0.8904,0.7016,0.81947,0.42924,1.47256,1.5318,1.0801,0.000208,0.000208,0.000208
22,509.428,1.53275,1.34817,1.09805,0.85595,0.74701,0.83751,0.44576,1.45835,1.44683,1.073,0.0001684,0.0001684,0.0001684
23,531.403,1.51463,1.3444,1.10492,0.81638,0.72252,0.84736,0.45096,1.44169,1.39054,1.06818,0.0001288,0.0001288,0.0001288
24,553.335,1.51618,1.34692,1.1062,0.76328,0.78888,0.85268,0.46485,1.41896,1.33617,1.06254,8.92e-05,8.92e-05,8.92e-05
25,576.022,1.48731,1.26296,1.08085,0.77389,0.79359,0.85353,0.46434,1.41943,1.31732,1.06061,4.96e-05,4.96e-05,4.96e-05
