epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.1744,2.2104,4.40215,1.93483,0.01445,0.1574,0.02898,0.02183,1.1002,4.08549,1.13035,7.854e-05,7.854e-05,7.854e-05
2,87.6372,1.64476,4.15061,1.50325,0.01913,0.24281,0.05711,0.04199,1.20609,3.92431,1.10946,0.000157717,0.000157717,0.000157717
3,162.827,1.50738,3.72493,1.39909,0.02155,0.37353,0.06616,0.04782,1.08362,3.57999,1.06699,0.000230108,0.000230108,0.000230108
4,207.112,1.40931,3.47256,1.30432,0.02104,0.35369,0.09016,0.06715,1.19786,3.56707,1.18395,0.000295713,0.000295713,0.000295713
5,250.338,1.5208,3.32424,1.37362,0.61683,0.08179,0.09109,0.06496,1.26748,3.66157,1.25894,0.000354532,0.000354532,0.000354532
6,294.013,1.32056,2.77531,1.23733,0.7521,0.09611,0.14198,0.10402,1.13038,3.37293,1.14362,0.000406566,0.000406566,0.000406566
7,338.721,1.24013,2.50845,1.17106,0.78163,0.14885,0.22655,0.15627,1.1367,3.01418,1.13592,0.000451813,0.000451813,0.000451813
8,383.696,1.33626,2.426,1.22094,0.49246,0.22344,0.25535,0.18557,1.07154,2.65912,1.13879,0.000490275,0.000490275,0.000490275
9,429.668,1.31254,2.30828,1.21254,0.53879,0.28591,0.28707,0.2024,1.18996,2.55604,1.18016,0.000487805,0.000487805,0.000487805
10,474.835,1.30864,2.16032,1.20944,0.44343,0.30391,0.29835,0.22243,1.16152,2.47081,1.19505,0.00045953,0.00045953,0.00045953
11,519.599,1.24232,1.95242,1.20178,0.42188,0.39281,0.34732,0.25411,1.11027,2.17926,1.16063,0.000431256,0.000431256,0.000431256
12,563.716,1.26897,1.96679,1.18678,0.46028,0.45703,0.40723,0.28713,1.1141,1.83455,1.13915,0.000402982,0.000402982,0.000402982
13,609.163,1.27021,1.83995,1.2032,0.68616,0.37072,0.43085,0.31093,1.10347,1.73032,1.12509,0.000374707,0.000374707,0.000374707
14,654.563,1.18975,1.77802,1.15498,0.71187,0.37694,0.45125,0.3141,1.12592,1.65092,1.12026,0.000346433,0.000346433,0.000346433
15,698.789,1.21082,1.72146,1.18313,0.54839,0.49181,0.50661,0.38757,1.00738,1.63798,1.07083,0.000318158,0.000318158,0.000318158
16,742.521,1.12585,1.70697,1.1487,0.56982,0.52143,0.51431,0.3974,0.97286,1.59898,1.05246,0.000289884,0.000289884,0.000289884
17,786.102,1.15961,1.63273,1.17752,0.5265,0.52315,0.5095,0.38174,1.01216,1.5205,1.07829,0.00026161,0.00026161,0.00026161
18,829.786,1.0992,1.5994,1.12834,0.50976,0.57963,0.53072,0.40196,0.95278,1.40357,1.06153,0.000233335,0.000233335,0.000233335
19,873.32,1.14516,1.59349,1.19437,0.70137,0.44379,0.54681,0.41814,0.94122,1.37618,1.04897,0.000205061,0.000205061,0.000205061
20,917.161,1.13511,1.47607,1.20314,0.71497,0.4567,0.55798,0.42567,0.9543,1.36183,1.05572,0.000176786,0.000176786,0.000176786
21,960.732,1.09054,1.43381,1.16577,0.58704,0.53693,0.54913,0.41994,0.94534,1.36377,1.05559,0.000148512,0.000148512,0.000148512
22,1004.68,1.03975,1.33987,1.10061,0.57654,0.57286,0.55688,0.43275,0.93396,1.36946,1.0494,0.000120238,0.000120238,0.000120238
23,1049.33,1.03507,1.419,1.11253,0.69336,0.49849,0.56969,0.44488,0.93376,1.34534,1.05064,9.19632e-05,9.19632e-05,9.19632e-05
24,1093.06,1.13684,1.35047,1.15352,0.73534,0.50267,0.59342,0.46414,0.91874,1.30341,1.0415,6.36888e-05,6.36888e-05,6.36888e-05
25,1137.44,0.99436,1.24414,1.06781,0.73661,0.50123,0.60937,0.48078,0.90924,1.28654,1.03655,3.54144e-05,3.54144e-05,3.54144e-05
