epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,220.176,1.17468,1.54484,1.23252,0.80245,0.80998,0.87921,0.6148,1.08165,1.09342,1.096,0.000650407,0.000650407,0.000650407
2,408.956,1.15208,0.92319,1.1907,0.82163,0.72922,0.8257,0.54014,1.24714,1.45314,1.19749,0.00126492,0.00126492,0.00126492
3,568.86,1.16603,0.87465,1.20072,0.81238,0.89074,0.9073,0.63167,1.11514,0.91205,1.20307,0.00182663,0.00182663,0.00182663
4,739.333,1.1643,0.84822,1.1926,0.86799,0.89022,0.92533,0.62781,1.14644,0.89299,1.19084,0.0017624,0.0017624,0.0017624
5,899.511,1.13082,0.81621,1.18477,0.87927,0.90819,0.94784,0.66712,1.07044,0.7737,1.16592,0.0016832,0.0016832,0.0016832
6,1061.55,1.11255,0.78442,1.17675,0.87533,0.89192,0.94161,0.65951,1.06844,0.73764,1.16026,0.001604,0.001604,0.001604
7,1221.47,1.09763,0.75087,1.17022,0.859,0.88992,0.9252,0.65215,1.05512,0.74832,1.10631,0.0015248,0.0015248,0.0015248
8,1381.99,1.09679,0.725,1.16675,0.8975,0.9047,0.9571,0.68687,1.03049,0.66719,1.1194,0.0014456,0.0014456,0.0014456
9,1540.59,1.07456,0.69088,1.14934,0.91209,0.91449,0.95746,0.68816,1.03581,0.65787,1.12072,0.0013664,0.0013664,0.0013664
10,1700.1,1.07773,0.69488,1.15479,0.87849,0.93595,0.95377,0.68666,1.04682,0.64159,1.14575,0.0012872,0.0012872,0.0012872
11,1858.15,1.06455,0.66162,1.14384,0.91737,0.90855,0.96093,0.69373,1.02191,0.6185,1.10911,0.001208,0.001208,0.001208
12,2018.34,1.0484,0.64284,1.13269,0.89617,0.89181,0.94684,0.67948,1.03589,0.61686,1.1289,0.0011288,0.0011288,0.0011288
13,2178.22,1.05722,0.63769,1.14098,0.88797,0.92254,0.95533,0.70412,0.99118,0.58952,1.10209,0.0010496,0.0010496,0.0010496
14,2338.14,1.02188,0.6151,1.13051,0.90175,0.89905,0.95472,0.69286,1.00746,0.60338,1.0991,0.0009704,0.0009704,0.0009704
15,2500.31,1.03424,0.59878,1.12245,0.88705,0.93468,0.96061,0.69906,1.008,0.56121,1.11501,0.0008912,0.0008912,0.0008912
16,2659.17,0.99544,0.57691,1.11899,0.87337,0.93349,0.95552,0.70026,0.99814,0.594,1.14339,0.000812,0.000812,0.000812
17,2819.35,0.99628,0.55716,1.10366,0.89633,0.94062,0.96368,0.70183,0.98468,0.56782,1.11641,0.0007328,0.0007328,0.0007328
18,2978.49,0.98365,0.54256,1.10389,0.89682,0.93935,0.96573,0.71706,0.98337,0.53055,1.09734,0.0006536,0.0006536,0.0006536
19,3138.22,0.97776,0.52244,1.09336,0.8972,0.93705,0.95619,0.70631,0.99142,0.53949,1.1082,0.0005744,0.0005744,0.0005744
20,3298.23,0.95819,0.51593,1.08999,0.89269,0.94842,0.96868,0.69927,1.01226,0.53109,1.1363,0.0004952,0.0004952,0.0004952
21,3458.31,0.95214,0.49591,1.09037,0.90114,0.93943,0.96371,0.70587,1.01908,0.52357,1.13763,0.000416,0.000416,0.000416
22,3618.85,0.93951,0.49012,1.0838,0.90421,0.94656,0.96465,0.71254,0.98352,0.50125,1.11337,0.0003368,0.0003368,0.0003368
23,3780.07,0.91981,0.4742,1.07273,0.90921,0.93956,0.96228,0.70768,0.99497,0.50739,1.10807,0.0002576,0.0002576,0.0002576
24,3941.06,0.92042,0.46785,1.0696,0.916,0.92993,0.96333,0.71448,0.98505,0.50095,1.10409,0.0001784,0.0001784,0.0001784
25,4102.17,0.90534,0.45547,1.05847,0.91539,0.93587,0.96495,0.71428,0.99811,0.49906,1.1156,9.92e-05,9.92e-05,9.92e-05
