epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1900.82,0.83784,1.7329,1.2644,0.86327,0.72508,0.85769,0.67602,0.7207,1.45382,1.22395,0.000369488,0.000369488,0.000369488
2,4425.75,0.85968,1.02503,1.2493,0.77441,0.85994,0.92313,0.71874,0.79436,1.26264,1.30091,0.000710524,0.000710524,0.000710524
3,6774.09,0.86513,0.85588,1.25277,0.92011,0.92601,0.97113,0.74621,0.79813,0.70062,1.26361,0.00102223,0.00102223,0.00102223
4,8784.28,0.83975,0.75295,1.23509,0.97162,0.97332,0.99236,0.82966,0.65498,0.46729,1.16392,0.000979013,0.000979013,0.000979013
5,10624.9,0.8143,0.68699,1.21743,0.96741,0.94301,0.99165,0.84782,0.60446,0.53144,1.12372,0.000935018,0.000935018,0.000935018
6,12445.4,0.7874,0.62854,1.20002,0.98884,0.98635,0.99335,0.85995,0.57908,0.36833,1.08615,0.000891022,0.000891022,0.000891022
7,14284.8,0.75035,0.57893,1.17391,0.99126,0.98736,0.99392,0.87215,0.56568,0.33494,1.07056,0.000847026,0.000847026,0.000847026
8,16133.6,0.73215,0.54228,1.1638,0.99386,0.99243,0.99474,0.87417,0.5392,0.33296,1.04042,0.000803031,0.000803031,0.000803031
9,17953.4,0.71997,0.52609,1.15596,0.99818,0.99337,0.99467,0.88925,0.52145,0.30049,1.03062,0.000759035,0.000759035,0.000759035
10,19794.2,0.70511,0.50052,1.14566,0.99462,0.99407,0.99441,0.88759,0.53282,0.29999,1.03059,0.00071504,0.00071504,0.00071504
11,21628,0.69033,0.48387,1.14,0.99822,0.99247,0.99493,0.88146,0.51872,0.29571,1.02387,0.000671044,0.000671044,0.000671044
12,23472.8,0.68887,0.47848,1.14352,0.99821,0.99706,0.99493,0.8988,0.50356,0.26833,1.00577,0.000627048,0.000627048,0.000627048
13,25343.4,0.66636,0.45271,1.12209,0.99796,0.99873,0.99499,0.90601,0.49644,0.26395,0.99928,0.000583053,0.000583053,0.000583053
14,52038.6,0.65028,0.44531,1.11797,0.99785,0.9984,0.995,0.89819,0.51258,0.26264,0.99418,0.000539057,0.000539057,0.000539057
15,53983,0.64634,0.42789,1.11075,0.99705,0.99854,0.995,0.901,0.49452,0.2515,0.99175,0.000495062,0.000495062,0.000495062
16,55881.7,0.46264,0.26756,1.01716,0.99855,0.99972,0.995,0.91298,0.47578,0.24938,0.97886,0.000451066,0.000451066,0.000451066
17,57713.6,0.45141,0.25534,1.00682,0.99859,0.99947,0.995,0.91541,0.47225,0.24128,0.97518,0.00040707,0.00040707,0.00040707
18,60126.3,0.4329,0.24072,0.99721,0.99608,0.99959,0.99496,0.92415,0.45806,0.22924,0.95755,0.000363075,0.000363075,0.000363075
19,63065,0.42645,0.23157,0.99008,0.99923,0.9987,0.995,0.92476,0.45201,0.22464,0.95632,0.000319079,0.000319079,0.000319079
20,65340.2,0.4184,0.22228,0.98102,0.99642,0.99947,0.99489,0.92827,0.45191,0.22041,0.95457,0.000275084,0.000275084,0.000275084
21,67058.2,0.40758,0.21276,0.96981,0.99664,0.99959,0.995,0.93024,0.44875,0.21167,0.95053,0.000231088,0.000231088,0.000231088
22,68787.8,0.40237,0.20658,0.97113,0.99889,0.99972,0.995,0.93018,0.43641,0.2059,0.94241,0.000187092,0.000187092,0.000187092
23,70515,0.39049,0.19467,0.95941,0.99913,0.99972,0.995,0.93564,0.43447,0.2031,0.94414,0.000143097,0.000143097,0.000143097
24,72239.8,0.38608,0.19222,0.95964,0.99933,0.99975,0.995,0.9374,0.42845,0.1955,0.93862,9.91012e-05,9.91012e-05,9.91012e-05
25,73958,0.37955,0.18609,0.95455,0.9992,0.99975,0.995,0.93726,0.42544,0.19354,0.93571,5.51056e-05,5.51056e-05,5.51056e-05
