epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4000.42,1.5363,3.04027,1.17888,0.60666,0.58035,0.51325,0.41369,0.81454,1.51504,0.9355,0.000144714,0.000144714,0.000144714
2,8231.93,1.31457,1.40367,1.06771,0.86793,0.7147,0.7693,0.61281,0.79299,0.9627,0.93398,0.000283978,0.000283978,0.000283978
3,12311.6,1.23886,1.07521,1.04978,0.89927,0.75742,0.83772,0.69597,0.67584,0.75058,0.90165,0.000417499,0.000417499,0.000417499
4,16440.8,1.17948,0.9757,1.03084,0.87187,0.7919,0.84059,0.70157,0.70069,0.74244,0.90896,0.000409161,0.000409161,0.000409161
5,20353.8,1.14796,0.91509,1.0213,0.85744,0.88505,0.90676,0.77326,0.6466,0.6455,0.89856,0.000400548,0.000400548,0.000400548
6,24697.4,1.11664,0.88114,1.01287,0.82836,0.87565,0.9069,0.77017,0.6526,0.62851,0.89616,0.000391935,0.000391935,0.000391935
7,29039.5,1.08198,0.8382,1.00242,0.87427,0.89802,0.92322,0.80548,0.5736,0.5854,0.88507,0.000383322,0.000383322,0.000383322
8,33385.9,1.05842,0.8153,0.99587,0.87141,0.86835,0.91494,0.79653,0.58522,0.60285,0.88943,0.000374709,0.000374709,0.000374709
9,40999.6,1.04929,0.80516,0.99329,0.88326,0.88997,0.9176,0.80585,0.57001,0.56744,0.88407,0.000366096,0.000366096,0.000366096
10,45266.3,1.02464,0.77707,0.98388,0.90278,0.90302,0.92254,0.80636,0.57667,0.54401,0.87854,0.000357483,0.000357483,0.000357483
11,49527,1.00354,0.75717,0.97793,0.90131,0.88951,0.92957,0.81637,0.56694,0.54666,0.88147,0.00034887,0.00034887,0.00034887
12,53829.3,0.99548,0.74401,0.97412,0.90346,0.90322,0.9323,0.81542,0.56416,0.54665,0.88385,0.000340257,0.000340257,0.000340257
13,58058.8,0.99206,0.73165,0.97244,0.91481,0.89693,0.93532,0.82815,0.54569,0.51733,0.87142,0.000331644,0.000331644,0.000331644
14,62260,0.98373,0.72899,0.96981,0.9069,0.90298,0.9349,0.82322,0.54737,0.51359,0.87516,0.000323031,0.000323031,0.000323031
15,66439.4,0.96911,0.7085,0.96349,0.90045,0.91008,0.92949,0.82495,0.54153,0.49238,0.86997,0.000314418,0.000314418,0.000314418
16,70768.3,0.96366,0.70478,0.96176,0.92196,0.9083,0.9431,0.83925,0.53,0.50009,0.86973,0.000305805,0.000305805,0.000305805
17,75083.1,0.96453,0.69851,0.96055,0.90688,0.92421,0.9369,0.8354,0.52869,0.47692,0.8679,0.000297192,0.000297192,0.000297192
18,79352.3,0.93562,0.6804,0.9523,0.90628,0.9142,0.93472,0.83174,0.53615,0.48861,0.86737,0.000288579,0.000288579,0.000288579
19,83506.2,0.93905,0.68093,0.95242,0.92919,0.90518,0.93905,0.838,0.52326,0.47736,0.86735,0.000279966,0.000279966,0.000279966
20,87610.7,0.93304,0.6692,0.95024,0.91155,0.89903,0.93113,0.83204,0.52201,0.47481,0.86792,0.000271353,0.000271353,0.000271353
21,91815.2,0.92673,0.66458,0.94718,0.91898,0.91252,0.94193,0.84376,0.51414,0.46884,0.86284,0.00026274,0.00026274,0.00026274
22,96046.2,0.91215,0.65358,0.94167,0.90653,0.91436,0.9405,0.84203,0.5206,0.46647,0.86561,0.000254127,0.000254127,0.000254127
23,100383,0.90614,0.6457,0.94169,0.92321,0.91422,0.94436,0.84703,0.51267,0.45391,0.86304,0.000245514,0.000245514,0.000245514
24,104762,0.90641,0.64694,0.94129,0.91014,0.91722,0.94211,0.84559,0.51131,0.45269,0.86279,0.000236901,0.000236901,0.000236901
25,109078,0.89879,0.63603,0.93922,0.92998,0.9107,0.94705,0.85227,0.5045,0.44684,0.86185,0.000228288,0.000228288,0.000228288
26,113377,0.89501,0.63558,0.9374,0.91942,0.92395,0.94617,0.84952,0.50784,0.44126,0.86384,0.000219675,0.000219675,0.000219675
27,117683,0.88676,0.63189,0.93607,0.90923,0.91372,0.94254,0.84887,0.50739,0.462,0.86316,0.000211062,0.000211062,0.000211062
28,122024,0.88054,0.62529,0.93443,0.92433,0.91927,0.94972,0.85495,0.50451,0.44024,0.86228,0.000202449,0.000202449,0.000202449
29,126154,0.88379,0.62387,0.93286,0.90733,0.93217,0.94742,0.85302,0.50478,0.442,0.86018,0.000193836,0.000193836,0.000193836
30,132629,0.87554,0.61661,0.93087,0.92679,0.9189,0.94091,0.84727,0.50513,0.43824,0.86143,0.000185223,0.000185223,0.000185223
31,136850,0.8712,0.61373,0.93114,0.9127,0.92704,0.94657,0.85417,0.49847,0.43912,0.85988,0.00017661,0.00017661,0.00017661
32,141329,0.87195,0.61382,0.92975,0.93001,0.91401,0.94773,0.85275,0.50277,0.43604,0.86083,0.000167997,0.000167997,0.000167997
33,144323,0.85896,0.60476,0.92683,0.9218,0.92565,0.94198,0.85007,0.49912,0.42716,0.85966,0.000159384,0.000159384,0.000159384
34,147129,0.85786,0.60208,0.92473,0.91832,0.92144,0.9448,0.85439,0.49919,0.42957,0.85799,0.000150771,0.000150771,0.000150771
35,151245,0.85378,0.59933,0.92471,0.91792,0.92684,0.94202,0.85142,0.49461,0.42716,0.85914,0.000142158,0.000142158,0.000142158
36,155476,0.85704,0.60058,0.92547,0.92217,0.92137,0.94302,0.85261,0.49665,0.42854,0.85847,0.000133545,0.000133545,0.000133545
37,159803,0.84676,0.59523,0.92231,0.92038,0.92689,0.94136,0.85038,0.49541,0.42167,0.85799,0.000124932,0.000124932,0.000124932
38,162473,0.84411,0.58947,0.92071,0.91353,0.92783,0.94121,0.85022,0.49525,0.42774,0.85987,0.000116319,0.000116319,0.000116319
39,165007,0.83585,0.58711,0.91877,0.91581,0.92991,0.94064,0.8501,0.49282,0.42123,0.8576,0.000107706,0.000107706,0.000107706
40,168387,0.83737,0.58405,0.92024,0.92619,0.92558,0.94391,0.85267,0.49621,0.42445,0.85793,9.9093e-05,9.9093e-05,9.9093e-05
41,172185,0.79802,0.54982,0.91656,0.92675,0.92474,0.94075,0.84732,0.4974,0.43334,0.85791,9.048e-05,9.048e-05,9.048e-05
42,174544,0.77776,0.53599,0.91062,0.92492,0.9244,0.94046,0.84852,0.49505,0.4279,0.85826,8.1867e-05,8.1867e-05,8.1867e-05
43,177808,0.77873,0.53298,0.90971,0.91569,0.93047,0.94115,0.85139,0.49201,0.42498,0.85517,7.3254e-05,7.3254e-05,7.3254e-05
44,181530,0.76834,0.52716,0.9067,0.91297,0.93166,0.94475,0.85412,0.49189,0.42851,0.85559,6.4641e-05,6.4641e-05,6.4641e-05
45,184235,0.76377,0.52522,0.9052,0.91409,0.93014,0.94618,0.85623,0.48921,0.42368,0.85446,5.6028e-05,5.6028e-05,5.6028e-05
46,187505,0.75892,0.52197,0.9036,0.92686,0.92043,0.94391,0.85487,0.48777,0.42222,0.85404,4.7415e-05,4.7415e-05,4.7415e-05
47,191549,0.75409,0.51762,0.90307,0.92589,0.9204,0.94299,0.85369,0.48878,0.42016,0.85443,3.8802e-05,3.8802e-05,3.8802e-05
48,195609,0.74743,0.51444,0.8999,0.92888,0.91943,0.94354,0.85478,0.48854,0.41748,0.85418,3.0189e-05,3.0189e-05,3.0189e-05
49,199673,0.74482,0.51215,0.8994,0.92145,0.92612,0.94418,0.85517,0.4889,0.41719,0.85389,2.1576e-05,2.1576e-05,2.1576e-05
50,203743,0.74948,0.51341,0.90135,0.92471,0.92274,0.9439,0.85558,0.48713,0.41585,0.85428,1.2963e-05,1.2963e-05,1.2963e-05
