epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5164.67,1.84588,1.31552,1.13663,0.7769,0.69635,0.77365,0.44479,1.55532,0.84149,1.05193,0.000665365,0.000665365,0.000665365
2,11130.6,1.6024,0.83765,1.04936,0.82471,0.72269,0.80823,0.47887,1.48017,0.76526,1.02938,0.00124412,0.00124412,0.00124412
3,17089.5,1.56772,0.80839,1.03703,0.84137,0.74818,0.83413,0.49729,1.4564,0.74548,1.01967,0.00173487,0.00173487,0.00173487
4,22679.9,1.53942,0.7805,1.02772,0.8579,0.7638,0.84354,0.51324,1.42133,0.70854,1.00474,0.001604,0.001604,0.001604
5,28505,1.52212,0.76022,1.02011,0.85728,0.75213,0.84007,0.50681,1.43275,0.71797,1.00367,0.001472,0.001472,0.001472
6,33672.6,1.48629,0.75597,1.03447,0.85988,0.77255,0.84968,0.52111,1.40627,0.68988,1.00405,0.00134,0.00134,0.00134
7,38580,1.46746,0.73016,1.02598,0.87003,0.78252,0.86287,0.53309,1.38874,0.67682,0.99077,0.001208,0.001208,0.001208
8,43846.3,1.45349,0.71525,1.02242,0.87356,0.78161,0.85897,0.53406,1.38561,0.66495,0.99369,0.001076,0.001076,0.001076
9,48780.6,1.44648,0.70335,1.01804,0.87529,0.79498,0.86815,0.53965,1.38014,0.65556,0.98926,0.000944,0.000944,0.000944
10,53690.3,1.4348,0.69123,1.01297,0.88178,0.80131,0.87527,0.54333,1.38177,0.64151,0.98891,0.000812,0.000812,0.000812
11,77360.3,1.4258,0.682,1.01051,0.8825,0.79675,0.87539,0.54732,1.36116,0.63833,0.98466,0.00068,0.00068,0.00068
12,82897.3,1.41718,0.6734,1.00691,0.8854,0.80316,0.87829,0.55151,1.35536,0.6281,0.98159,0.000548,0.000548,0.000548
13,87755.7,1.40761,0.66203,1.00202,0.8872,0.8039,0.88039,0.55421,1.34941,0.62382,0.97861,0.000416,0.000416,0.000416
14,92646.5,1.40231,0.65622,0.99987,0.89034,0.80552,0.88274,0.55705,1.34492,0.61573,0.97612,0.000284,0.000284,0.000284
15,97524.3,1.39261,0.6462,0.99639,0.89262,0.80604,0.88343,0.55784,1.34072,0.61158,0.9742,0.000152,0.000152,0.000152
