epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1263.39,1.75027,2.3867,1.91597,0.62342,0.30709,0.39682,0.19667,1.74671,2.74871,2.03029,0.00066482,0.00066482,0.00066482
2,2520.88,1.79494,2.22845,1.96443,0.43242,0.40551,0.38359,0.20439,1.74709,2.20689,2.08088,0.00127876,0.00127876,0.00127876
3,3778.55,1.76982,2.17893,1.93994,0.32948,0.36614,0.33528,0.15248,1.94332,2.38695,2.20703,0.0018399,0.0018399,0.0018399
4,5041.19,1.71757,2.14944,1.90708,0.70482,0.48884,0.56777,0.3285,1.54034,1.93667,1.92906,0.0017624,0.0017624,0.0017624
5,6303.42,1.61815,2.04254,1.8252,0.62184,0.41339,0.4944,0.29242,1.61785,2.05219,1.93123,0.0016832,0.0016832,0.0016832
6,7573.01,1.57801,2.00328,1.79678,0.60275,0.56152,0.58089,0.32547,1.55958,1.73737,1.85213,0.001604,0.001604,0.001604
7,8861.65,1.53072,1.95275,1.76764,0.75063,0.52756,0.64835,0.42171,1.37201,1.52583,1.69255,0.0015248,0.0015248,0.0015248
8,10151.6,1.49862,1.89533,1.74507,0.7479,0.56693,0.66566,0.42367,1.3543,1.45304,1.66816,0.0014456,0.0014456,0.0014456
9,11427.7,1.47702,1.88881,1.72883,0.69599,0.61811,0.67445,0.44066,1.29338,1.46119,1.64648,0.0013664,0.0013664,0.0013664
10,12726.9,1.44263,1.83256,1.69933,0.73553,0.62413,0.72289,0.4949,1.17527,1.30954,1.54344,0.0012872,0.0012872,0.0012872
11,14440.4,1.42416,1.81292,1.68376,0.74714,0.60492,0.69518,0.45759,1.25212,1.36174,1.61551,0.001208,0.001208,0.001208
12,15971.3,1.40794,1.79239,1.67266,0.77766,0.6063,0.72856,0.50289,1.15404,1.31493,1.50917,0.0011288,0.0011288,0.0011288
13,17257.2,1.38092,1.75849,1.65369,0.73296,0.63755,0.73541,0.50008,1.17891,1.32911,1.52128,0.0010496,0.0010496,0.0010496
14,18554.1,1.37673,1.73732,1.64946,0.77818,0.64913,0.75961,0.52646,1.11692,1.1997,1.47582,0.0009704,0.0009704,0.0009704
15,19852.1,1.3467,1.70678,1.63573,0.68403,0.67717,0.74278,0.51787,1.14333,1.19886,1.50338,0.0008912,0.0008912,0.0008912
16,21145.4,1.43091,1.64659,1.82075,0.78486,0.74687,0.80767,0.55146,1.11912,1.08719,1.46236,0.000812,0.000812,0.000812
17,22432.7,1.40899,1.5478,1.79163,0.84059,0.64173,0.74958,0.49773,1.18325,1.1768,1.52845,0.0007328,0.0007328,0.0007328
18,23723.9,1.38295,1.50551,1.77153,0.81893,0.74409,0.80936,0.56814,1.0732,1.1042,1.43717,0.0006536,0.0006536,0.0006536
19,25020,1.35498,1.466,1.75474,0.77118,0.73228,0.79382,0.55425,1.08269,1.06649,1.42562,0.0005744,0.0005744,0.0005744
20,26310.6,1.32441,1.42833,1.72638,0.79682,0.72835,0.80771,0.56034,1.06766,1.00519,1.4141,0.0004952,0.0004952,0.0004952
21,27593.4,1.29827,1.39883,1.70231,0.85304,0.72835,0.82745,0.5885,1.0673,0.9648,1.43435,0.000416,0.000416,0.000416
22,28876.6,1.2957,1.37442,1.68924,0.78924,0.74803,0.82702,0.58877,1.0583,0.98096,1.42027,0.0003368,0.0003368,0.0003368
23,30163.7,1.26019,1.33894,1.66614,0.85672,0.72835,0.83371,0.57343,1.07735,0.98764,1.43142,0.0002576,0.0002576,0.0002576
24,31452.6,1.23352,1.30964,1.64933,0.86748,0.72164,0.83183,0.59018,1.01972,0.96921,1.39252,0.0001784,0.0001784,0.0001784
25,32735.3,1.20604,1.29746,1.63215,0.83659,0.72441,0.83846,0.58924,1.04027,0.94849,1.40844,9.92e-05,9.92e-05,9.92e-05
