epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,203.436,1.3635,1.99409,1.52466,0.42425,0.27374,0.29727,0.12847,1.76766,3.07825,2.17537,0.00065,0.00065,0.00065
2,471.858,1.44246,1.73047,1.58212,0.38744,0.36872,0.34768,0.18808,1.98047,2.85417,2.45555,0.00126453,0.00126453,0.00126453
3,742.811,1.53039,1.73503,1.64029,0.19329,0.39665,0.22767,0.07958,2.12417,3.59995,2.60918,0.00182625,0.00182625,0.00182625
4,978.265,1.4838,1.67335,1.62033,0.40254,0.35757,0.33714,0.15356,1.88765,5.11479,2.50919,0.0017624,0.0017624,0.0017624
5,1186.22,1.47948,1.55573,1.60583,0.50649,0.64246,0.58486,0.28885,1.67801,2.51281,1.94706,0.0016832,0.0016832,0.0016832
6,1337.87,1.46603,1.56159,1.61865,0.57257,0.67352,0.64966,0.35213,1.56986,1.74088,1.95897,0.001604,0.001604,0.001604
7,1485.09,1.49919,1.54324,1.61414,0.42851,0.5655,0.50471,0.20786,1.88982,2.28949,2.2313,0.0015248,0.0015248,0.0015248
8,1630.82,1.42857,1.42665,1.56146,0.35718,0.28492,0.27242,0.10935,2.23506,2.57967,2.67418,0.0014456,0.0014456,0.0014456
9,1777.08,1.39372,1.37284,1.53243,0.56455,0.60335,0.57056,0.27521,1.79891,1.75877,2.02607,0.0013664,0.0013664,0.0013664
10,1921.63,1.35485,1.34228,1.50856,0.60643,0.59218,0.5909,0.29393,1.67253,1.71169,1.97892,0.0012872,0.0012872,0.0012872
11,2069.07,1.30871,1.23099,1.44656,0.6297,0.60894,0.65792,0.37258,1.5543,1.53881,1.88107,0.001208,0.001208,0.001208
12,2217.5,1.32741,1.19741,1.46925,0.63468,0.79589,0.73847,0.46443,1.32046,1.2364,1.56696,0.0011288,0.0011288,0.0011288
13,2368.9,1.24697,1.15497,1.41713,0.6975,0.73426,0.75863,0.46558,1.37435,1.25166,1.69306,0.0010496,0.0010496,0.0010496
14,2519.4,1.24867,1.15912,1.42534,0.75531,0.6898,0.7737,0.47183,1.37353,1.33619,1.67534,0.0009704,0.0009704,0.0009704
15,2670.13,1.21322,1.11501,1.39676,0.74974,0.70293,0.79769,0.49359,1.36085,1.18545,1.63357,0.0008912,0.0008912,0.0008912
16,2821.17,1.18848,1.09995,1.48442,0.73226,0.77654,0.78993,0.52222,1.2468,1.22309,1.54915,0.000812,0.000812,0.000812
17,2972.57,1.17409,0.99984,1.48736,0.75502,0.7933,0.80956,0.51405,1.33548,1.23281,1.61711,0.0007328,0.0007328,0.0007328
18,3123.74,1.11796,0.94397,1.43117,0.7782,0.78771,0.81655,0.54056,1.25506,1.10258,1.51065,0.0006536,0.0006536,0.0006536
19,3275.66,1.09862,0.90706,1.39344,0.74135,0.84864,0.82316,0.52828,1.26207,1.08256,1.54682,0.0005744,0.0005744,0.0005744
20,3429.68,1.08571,0.90582,1.40447,0.69807,0.89123,0.86925,0.56402,1.2583,1.00038,1.47933,0.0004952,0.0004952,0.0004952
21,3580.94,1.08607,0.84001,1.38901,0.76831,0.85218,0.86396,0.56972,1.23656,0.98667,1.47692,0.000416,0.000416,0.000416
22,3731.47,1.04598,0.83876,1.35532,0.57235,0.7776,0.72507,0.42778,1.44667,1.3419,1.78172,0.0003368,0.0003368,0.0003368
23,3884.76,0.99596,0.77548,1.32064,0.76826,0.85197,0.88502,0.59632,1.17723,0.92282,1.41515,0.0002576,0.0002576,0.0002576
24,4037.41,0.98204,0.78321,1.30757,0.77562,0.84358,0.88008,0.59288,1.18679,0.93484,1.42904,0.0001784,0.0001784,0.0001784
25,4188.44,0.97327,0.77331,1.31452,0.77241,0.87219,0.88426,0.60293,1.17068,0.92729,1.42668,9.92e-05,9.92e-05,9.92e-05
